AoA,CL_XFOIL,CD_XFOIL,CL_CFD,CD_CFD
-180.000000,,,0.000052,0.013596
-170.000000,,,0.463870,0.098103
-160.000000,,,0.519455,0.274713
-150.000000,,,0.660563,0.499934
-140.000000,,,1.113881,1.160725
-130.000000,,,1.105173,1.657717
-120.000000,,,0.958638,2.006905
-110.000000,,,0.661168,2.252008
-100.000000,,,0.295533,2.390149
-80.000000,,,-0.492344,2.393710
-70.000000,,,-0.865076,2.260160
-60.000000,,,-1.175190,2.031498
-50.000000,,,-1.366436,1.686657
-40.000000,,,-1.384865,1.189800
-30.000000,,,-0.903266,0.553237
-20.000000,,,-0.794939,0.280919
-19.250000,-1.232200,0.111160,,
-19.000000,-1.271100,0.100200,,
-18.750000,-1.308400,0.089770,,
-18.500000,-1.343300,0.080020,,
-18.250000,-1.373000,0.071330,,
-18.000000,-1.397800,0.063660,,
-17.750000,-1.417000,0.057020,,
-17.500000,-1.431700,0.051230,,
-17.250000,-1.442000,0.046210,,
-17.000000,-1.448700,0.041920,,
-16.750000,-1.452400,0.038180,,
-16.500000,-1.453600,0.034970,,
-16.250000,-1.452600,0.032180,,
-16.000000,-1.449600,0.029780,,
-15.750000,-1.445300,0.027680,,
-15.500000,-1.441300,0.025680,,
-15.250000,-1.437500,0.023820,,
-15.000000,-1.431300,0.022280,,
-14.750000,-1.423300,0.020970,,
-14.500000,-1.414000,0.019830,,
-14.250000,-1.403500,0.018810,,
-14.000000,-1.392200,0.017900,,
-13.750000,-1.380000,0.017080,,
-13.500000,-1.367000,0.016330,,
-13.250000,-1.351500,0.015610,,
-13.000000,-1.333900,0.014940,,
-12.750000,-1.316100,0.014240,,
-12.500000,-1.298000,0.013550,,
-12.250000,-1.278500,0.012940,,
-12.000000,-1.258300,0.012380,,
-11.750000,-1.237400,0.011840,,
-11.500000,-1.215900,0.011340,,
-11.250000,-1.194000,0.010860,,
-11.000000,-1.172800,0.010320,,
-10.750000,-1.151000,0.009840,,
-10.500000,-1.128800,0.009400,,
-10.250000,-1.106300,0.008990,,
-10.000000,-1.083600,0.008600,-1.106913,0.023205
-9.750000,-1.061700,0.008190,,
-9.500000,-1.039800,0.007820,,
-9.250000,-1.017800,0.007480,,
-9.000000,-0.995800,0.007160,,
-8.750000,-0.974300,0.006820,,
-8.500000,-0.952900,0.006510,,
-8.250000,-0.931300,0.006230,,
-8.000000,-0.900500,0.005900,,
-7.750000,-0.869000,0.005590,,
-7.500000,-0.836800,0.005300,,
-7.250000,-0.805100,0.005010,,
-7.000000,-0.774200,0.004750,,
-6.750000,-0.742700,0.004480,,
-6.500000,-0.710700,0.004240,,
-6.250000,-0.680800,0.004000,,
-6.000000,-0.650900,0.003770,,
-5.750000,-0.620400,0.003550,,
-5.250000,-0.563700,0.003150,,
-5.000000,-0.536500,0.002960,,
-4.750000,-0.509800,0.002780,,
-4.500000,-0.483400,0.002600,,
-4.250000,-0.457200,0.002430,,
-4.000000,-0.430900,0.002280,,
-3.750000,-0.404700,0.002120,,
-3.500000,-0.378400,0.001980,,
-3.250000,-0.351900,0.001850,,
-3.000000,-0.325400,0.001730,,
-2.750000,-0.298700,0.001620,,
-2.500000,-0.272000,0.001530,,
-2.250000,-0.245100,0.001440,,
-2.000000,-0.218200,0.001370,,
-1.750000,-0.191000,0.001300,,
-1.500000,-0.164000,0.001250,,
-1.000000,-0.109500,0.001160,,
-0.750000,-0.082100,0.001140,,
-0.500000,-0.054800,0.001120,,
-0.250000,-0.027400,0.001100,,
0.000000,0.000000,0.001100,0.000007,0.009820
0.250000,0.027400,0.001100,,
0.500000,0.054800,0.001120,,
0.750000,0.082100,0.001140,,
1.000000,0.109600,0.001160,,
1.250000,0.136700,0.001200,,
1.500000,0.164000,0.001250,,
1.750000,0.191100,0.001300,,
2.000000,0.218200,0.001370,,
2.250000,0.245100,0.001440,,
2.500000,0.272000,0.001530,,
2.750000,0.298700,0.001620,,
3.000000,0.325400,0.001730,,
3.250000,0.351900,0.001850,,
3.500000,0.378400,0.001980,,
3.750000,0.404700,0.002120,,
4.000000,0.430900,0.002280,,
4.250000,0.457200,0.002430,,
4.500000,0.483500,0.002600,,
4.750000,0.509800,0.002780,,
5.000000,0.536500,0.002960,,
5.250000,0.563700,0.003150,,
5.750000,0.620400,0.003560,,
6.000000,0.650900,0.003770,,
6.250000,0.680900,0.004000,,
6.500000,0.710800,0.004240,,
6.750000,0.742800,0.004480,,
7.000000,0.774300,0.004750,,
7.250000,0.805100,0.005010,,
7.500000,0.836900,0.005300,,
7.750000,0.869100,0.005590,,
8.000000,0.900600,0.005900,,
8.250000,0.931200,0.006230,,
8.500000,0.952800,0.006510,,
8.750000,0.974300,0.006820,,
9.000000,0.995700,0.007160,,
9.250000,1.017800,0.007480,,
9.500000,1.039800,0.007820,,
9.750000,1.061700,0.008190,,
10.000000,1.083600,0.008600,1.107368,0.023234
10.250000,1.106300,0.008990,,
10.500000,1.128800,0.009400,,
10.750000,1.151100,0.009840,,
11.000000,1.172900,0.010310,,
11.250000,1.194200,0.010850,,
11.500000,1.216100,0.011340,,
11.750000,1.237500,0.011850,,
12.000000,1.258500,0.012380,,
12.250000,1.278800,0.012940,,
12.500000,1.298200,0.013550,,
12.750000,1.316400,0.014240,,
13.000000,1.334300,0.014940,,
13.250000,1.351900,0.015610,,
13.500000,1.367500,0.016320,,
13.750000,1.380600,0.017080,,
14.000000,1.392800,0.017900,,
14.250000,1.404300,0.018810,,
14.500000,1.414800,0.019820,,
14.750000,1.424100,0.020960,,
15.000000,1.432200,0.022270,,
15.250000,1.438500,0.023810,,
15.500000,1.442400,0.025660,,
15.750000,1.446500,0.027660,,
16.000000,1.451100,0.029730,,
16.250000,1.454000,0.032150,,
16.500000,1.455100,0.034920,,
16.750000,1.454200,0.038110,,
17.000000,1.450800,0.041820,,
17.250000,1.444200,0.046120,,
17.500000,1.434100,0.051100,,
17.750000,1.419700,0.056870,,
18.000000,1.400400,0.063530,,
18.250000,1.376200,0.071130,,
18.500000,1.346600,0.079810,,
18.750000,1.311500,0.089590,,
19.000000,1.273900,0.100080,,
19.250000,1.234900,0.111070,,
20.000000,,,0.795446,0.281069
30.000000,,,0.903426,0.553378
40.000000,,,1.389259,1.193893
50.000000,,,1.366590,1.690516
60.000000,,,1.170968,2.038135
70.000000,,,0.866383,2.263234
80.000000,,,0.493450,2.397717
100.000000,,,-0.295169,2.392175
110.000000,,,-0.660704,2.252664
120.000000,,,-0.960368,2.010014
130.000000,,,-1.092581,1.667770
140.000000,,,-1.104152,1.151551
150.000000,,,-0.661070,0.500216
160.000000,,,-0.520826,0.275264
170.000000,,,-0.463959,0.098090
180.000000,,,0.000052,0.013596
